ORDER,Segment,MODEL_TYPE
1,ACT,ALLM_8086
2,ACT,PRRI_2004
3,ACT,VAAL_8377
4,ACT,DIIV_2398
5,ACT,ECCO_3807
6,ACT,LIIA_2280
7,ACT,FIIN_7506
8,ACT,SUUR_5402
9,ACT,VPPM_8704
10,ACT,RIIS_1845
11,ACT,ILLL_1161
12,ACT,AGGG_3735
13,ACT,OTTH_9237
14,ACT,VNNB_2038
15,ACT,OTTH_4771
1,AMS,MUUL_6527
2,AMS,ALLP_8300
3,AMS,POOR_3009
4,AMS,TRRA_4134
15,AMS,ECCO_8530
5,AMS,SEEC_8608
6,AMS,FUUN_8783
7,AMS,POOR_3530
8,AMS,SEEC_5336
9,AMS,RIIS_3883
10,AMS,PEER_2790
11,AMS,TRRA_7190
12,AMS,POOR_2004
13,AMS,BUUS_1923
14,AMS,OTTH_3512
1,CRP,UNND_3785
2,CRP,STTO_9350
8,CRP,ECCO_4340
3,CRP,FIIN_7202
4,CRP,RIIS_3497
5,CRP,BUUS_9202
6,CRP,AGGG_8531
7,CRP,RIIS_3883
8,CRP,OTTH_9471
1,ALL,ALLM_8086
2,ALL,MUUL_6527
3,ALL,UNND_3785
4,ALL,PRRI_2004
5,ALL,ALLP_8300
6,ALL,STTO_9350
7,ALL,VAAL_8377
8,ALL,POOR_3009
9,ALL,FIIN_7506
