idbinance,pair,price,Date,Datetime
736457,ADAUSDT,0.728657,2018-01-01,"2018-01-02 02:00:00"
736456,ADAUSDT,0.782587,2018-01-02,"2018-01-03 02:00:00"
736455,ADAUSDT,1.08,2018-01-03,"2018-01-04 02:00:00"
736454,ADAUSDT,1.11,2018-01-04,"2018-01-05 02:00:00"
736453,ADAUSDT,0.999559,2018-01-05,"2018-01-06 02:00:00"
736452,ADAUSDT,1.03,2018-01-06,"2018-01-07 02:00:00"
736451,ADAUSDT,1.01,2018-01-07,"2018-01-08 02:00:00"
736450,ADAUSDT,0.899002,2018-01-08,"2018-01-09 02:00:00"
736449,ADAUSDT,0.814743,2018-01-09,"2018-01-10 02:00:00"
736448,ADAUSDT,0.793121,2018-01-10,"2018-01-11 02:00:00"
736447,ADAUSDT,0.688412,2018-01-11,"2018-01-12 02:00:00"
736446,ADAUSDT,0.897508,2018-01-12,"2018-01-13 02:00:00"
736445,ADAUSDT,0.884124,2018-01-13,"2018-01-14 02:00:00"
736444,ADAUSDT,0.802262,2018-01-14,"2018-01-15 02:00:00"
736443,ADAUSDT,0.778587,2018-01-15,"2018-01-16 02:00:00"
736442,ADAUSDT,0.626493,2018-01-16,"2018-01-17 02:00:00"
736441,ADAUSDT,0.629102,2018-01-17,"2018-01-18 02:00:00"
736440,ADAUSDT,0.659843,2018-01-18,"2018-01-19 02:00:00"
736439,ADAUSDT,0.650498,2018-01-19,"2018-01-20 02:00:00"
736438,ADAUSDT,0.70751,2018-01-20,"2018-01-21 02:00:00"
736437,ADAUSDT,0.613163,2018-01-21,"2018-01-22 02:00:00"
736436,ADAUSDT,0.570458,2018-01-22,"2018-01-23 02:00:00"
736435,ADAUSDT,0.56307,2018-01-23,"2018-01-24 02:00:00"
736434,ADAUSDT,0.622208,2018-01-24,"2018-01-25 02:00:00"
736433,ADAUSDT,0.637495,2018-01-25,"2018-01-26 02:00:00"
736432,ADAUSDT,0.623382,2018-01-26,"2018-01-27 02:00:00"
736431,ADAUSDT,0.616833,2018-01-27,"2018-01-28 02:00:00"
736430,ADAUSDT,0.670286,2018-01-28,"2018-01-29 02:00:00"
736429,ADAUSDT,0.623204,2018-01-29,"2018-01-30 02:00:00"
736428,ADAUSDT,0.531913,2018-01-30,"2018-01-31 02:00:00"
736427,ADAUSDT,0.519315,2018-01-31,"2018-02-01 02:00:00"
736426,ADAUSDT,0.421672,2018-02-01,"2018-02-02 02:00:00"
736425,ADAUSDT,0.390534,2018-02-02,"2018-02-03 02:00:00"
736424,ADAUSDT,0.438836,2018-02-03,"2018-02-04 02:00:00"
736423,ADAUSDT,0.379303,2018-02-04,"2018-02-05 02:00:00"
736422,ADAUSDT,0.327371,2018-02-05,"2018-02-06 02:00:00"
736421,ADAUSDT,0.369753,2018-02-06,"2018-02-07 02:00:00"
736420,ADAUSDT,0.340447,2018-02-07,"2018-02-08 02:00:00"
736419,ADAUSDT,0.356584,2018-02-08,"2018-02-09 02:00:00"
